species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
うめの開花,厳原,800,57,1953,2009,29.9,0.07655,0.765,0.0794,0.557218,0.03843,0.15061,0.799565,0.1257,
うめの開花,福岡,807,71,1953,2024,31.5,-0.03933,-0.393,-0.0578,0.631881,-0.04470,0.06638,0.502950,-0.2291,
うめの開花,佐賀,813,72,1953,2024,31.7,-0.17509,-1.751,-0.2844,0.015467,-0.15499,0.06264,0.015815,-0.1318,
うめの開花,大分,815,70,1953,2024,30.6,-0.12344,-1.234,-0.1985,0.099424,-0.14342,0.07531,0.061146,-0.0008,
うめの開花,長崎,817,72,1953,2024,34.5,-0.23918,-2.392,-0.0883,0.460693,-0.24797,0.33633,0.463459,0.0141,
うめの開花,熊本,819,72,1953,2024,38.4,-0.28212,-2.821,-0.1432,0.230231,-0.28540,0.22759,0.214072,-0.0520,
うめの開花,延岡,822,34,1962,1995,30.0,0.98778,9.878,0.1682,0.341747,1.00042,1.03474,0.341112,-0.0497,
うめの開花,鹿児島,827,71,1954,2024,27.5,0.17840,1.784,0.2925,0.013323,0.12944,0.10414,0.218158,0.3628,sig_to_ns
うめの開花,宮崎,830,72,1953,2024,23.4,0.02204,0.220,0.0458,0.702515,0.05440,0.07785,0.486990,0.2972,
うめの開花,屋久島,836,23,1953,1975,18.9,0.08992,0.899,0.1287,0.558304,0.03693,0.22098,0.868948,0.2903,
うめの開花,種子島,837,54,1953,2007,21.7,0.26693,2.669,0.3909,0.003471,0.27094,0.13248,0.046026,0.3673,
うめの開花,福江,843,57,1953,2009,31.2,0.00732,0.073,0.0094,0.944802,0.00971,0.12003,0.935850,0.0949,
うめの開花,松山,887,72,1953,2024,99.2,3.01730,30.173,0.4355,0.000132,3.14486,0.99968,0.002444,0.2598,
うめの開花,高松,891,72,1953,2024,55.8,1.94715,19.472,0.4100,0.000348,1.98607,0.64084,0.002808,0.1848,
うめの開花,宇和島,892,51,1953,2005,43.8,-0.55514,-5.551,-0.1063,0.457660,-0.63529,0.72761,0.386947,-0.0565,
うめの開花,高知,893,68,1954,2024,30.1,0.10786,1.079,0.0521,0.672901,0.08458,0.27092,0.755892,0.0332,
うめの開花,徳島,895,72,1953,2024,34.9,0.17585,1.758,0.2993,0.010654,0.18428,0.07488,0.016368,0.0856,
うめの開花,西表島,917,14,1986,2001,18.3,0.16162,1.616,0.0579,0.844007,1.55741,0.73468,0.057585,0.0538,
うめの開花,石垣島,918,37,1986,2024,49.5,-0.63994,-6.399,-0.0677,0.690537,-0.93600,1.94347,0.633167,0.1485,
うめの開花,那覇,936,24,1993,2024,88.5,1.05873,10.587,0.0765,0.722247,3.23078,2.76926,0.256426,-0.0247,
うめの開花,名護,940,30,1973,2002,15.0,0.02625,0.263,0.0296,0.876478,0.02902,0.17872,0.872238,-0.0033,
つばきの開花,江差,428,25,1953,1989,104.5,-0.50775,-5.078,-0.3541,0.082447,-0.38680,0.44903,0.398303,0.4063,
つばきの開花,新庄,520,36,1961,1997,116.6,0.08631,0.863,0.1291,0.452880,0.06981,0.10244,0.500304,-0.1568,
つばきの開花,青森,575,46,1970,2019,110.9,-0.30031,-3.003,-0.4556,0.001463,-0.24864,0.14127,0.085514,0.3957,sig_to_ns
つばきの開花,八戸,581,30,1954,2007,119.8,-0.01400,-0.140,-0.0199,0.917032,-0.09853,0.13590,0.474680,-0.0622,
つばきの開花,秋田,582,67,1953,2020,103.6,0.21352,2.135,0.4216,0.000381,0.22202,0.07226,0.003115,0.2104,
つばきの開花,盛岡,584,31,1990,2020,116.3,-0.25202,-2.520,-0.2899,0.113636,-0.29008,0.21270,0.183493,0.2592,
つばきの開花,宮古,585,53,1953,2007,99.8,-0.19527,-1.953,-0.3142,0.021944,-0.18439,0.11280,0.108409,0.2701,sig_to_ns
つばきの開花,酒田,587,51,1953,2009,90.2,-0.39965,-3.997,-0.5737,0.000011,-0.42150,0.11503,0.000619,0.2997,
つばきの開花,山形,588,68,1953,2020,103.9,-0.10725,-1.072,-0.2094,0.086536,-0.09701,0.07261,0.186201,0.1377,
