species,station_id,station_name,lat,lon,n_years,first_year,last_year,mean_doy,slope_day_per_year,slope_day_per_decade,r,p
Takydromus tachydromoides first sighting,670,横浜,35.4383,139.6517,17,1962,2002,114.7,-0.8764,-8.76,-0.431,0.083788
Takydromus tachydromoides first sighting,675,大島,34.7483,139.3617,52,1953,2009,98.0,0.3966,3.97,0.456,0.000686
Takydromus tachydromoides first sighting,677,三宅島,34.1233,139.52,39,1953,2000,75.2,0.4098,4.1,0.396,0.012675
Takydromus tachydromoides first sighting,678,八丈島,33.1217,139.7783,49,1953,2002,83.8,1.0412,10.41,0.748,0.0
Takydromus tachydromoides first sighting,740,西郷,36.2033,133.3333,54,1953,2008,114.1,0.2333,2.33,0.253,0.06478
Takydromus tachydromoides first sighting,746,鳥取,35.4867,134.2383,49,1953,2002,88.3,0.299,2.99,0.371,0.008614
Takydromus tachydromoides first sighting,747,豊岡,35.535,134.8217,11,1953,1963,107.4,0.3727,3.73,0.121,0.723656
Takydromus tachydromoides first sighting,755,浜田,34.8967,132.07,47,1957,2007,126.2,0.1183,1.18,0.127,0.395528
Takydromus tachydromoides first sighting,759,京都,35.0133,135.7317,35,1953,2002,90.0,0.3074,3.07,0.332,0.05108
Takydromus tachydromoides first sighting,761,彦根,35.275,136.2433,49,1953,2002,93.2,0.4634,4.63,0.475,0.000566
Takydromus tachydromoides first sighting,762,下関,33.9483,130.925,10,1953,1963,103.6,1.3367,13.37,0.384,0.273616
Takydromus tachydromoides first sighting,765,広島,34.3983,132.4617,59,1953,2019,89.1,0.6208,6.21,0.632,0.0
Takydromus tachydromoides first sighting,768,岡山,34.685,133.925,18,1953,1987,106.7,0.4403,4.4,0.468,0.049945
Takydromus tachydromoides first sighting,770,神戸,34.6967,135.2117,37,1953,2001,99.2,0.0103,0.1,0.011,0.947652
Takydromus tachydromoides first sighting,776,洲本,34.31,134.8483,49,1953,2002,89.8,-0.0607,-0.61,-0.097,0.507802
Takydromus tachydromoides first sighting,777,和歌山,34.2283,135.1633,52,1953,2020,98.5,0.2117,2.12,0.235,0.093027
Takydromus tachydromoides first sighting,778,潮岬,33.45,135.7567,45,1962,2009,89.7,-0.3284,-3.28,-0.351,0.018016
Takydromus tachydromoides first sighting,780,奈良,34.6733,135.8367,13,1954,1969,91.2,1.1609,11.61,0.437,0.135762
Takydromus tachydromoides first sighting,813,佐賀,33.265,130.305,42,1953,1994,108.3,-0.0199,-0.2,-0.023,0.886157
Takydromus tachydromoides first sighting,815,大分,33.235,131.6183,11,1953,1967,84.8,-0.7057,-7.06,-0.409,0.211062
Takydromus tachydromoides first sighting,817,長崎,32.7333,129.8667,10,1953,1962,97.5,-0.7697,-7.7,-0.236,0.511791
Takydromus tachydromoides first sighting,819,熊本,32.8133,130.7067,43,1953,2002,87.4,-0.3384,-3.38,-0.376,0.012866
Takydromus tachydromoides first sighting,827,鹿児島,31.555,130.5467,18,1970,2002,92.9,0.0229,0.23,0.009,0.972837
Takydromus tachydromoides first sighting,843,福江,32.6933,128.8267,12,1953,1965,88.8,2.4449,24.45,0.322,0.307609
Takydromus tachydromoides first sighting,887,松山,33.8433,132.7767,10,1953,1962,77.2,0.0848,0.85,0.027,0.94186
Takydromus tachydromoides first sighting,891,高松,34.3183,134.0533,38,1953,2001,90.6,0.7392,7.39,0.454,0.004238
Takydromus tachydromoides first sighting,892,宇和島,33.2267,132.5517,29,1953,1986,71.4,0.3578,3.58,0.306,0.10601
Takydromus tachydromoides first sighting,893,高知,33.5667,133.5483,46,1954,2020,84.2,0.4029,4.03,0.441,0.00214
Takydromus tachydromoides first sighting,895,徳島,34.0667,134.5733,40,1953,2002,97.4,0.1214,1.21,0.129,0.427176
Takydromus tachydromoides first sighting,912,与那国島,24.4667,123.01,16,1971,1994,79.2,0.5108,5.11,0.203,0.451314
Takydromus tachydromoides first sighting,918,石垣島,24.3367,124.1633,13,1971,1992,82.8,0.1272,1.27,0.076,0.804483
Platypleura kaempferi first call,520,新庄,38.7567,140.3117,29,1958,1995,188.2,0.1679,1.68,0.241,0.208442
Platypleura kaempferi first call,575,青森,40.8217,140.7683,20,1953,1990,198.9,-0.0255,-0.25,-0.045,0.850684
Platypleura kaempferi first call,582,秋田,39.7167,140.0983,68,1953,2020,186.9,0.0411,0.41,0.137,0.264907
Platypleura kaempferi first call,584,盛岡,39.6983,141.165,66,1953,2020,190.5,0.15,1.5,0.331,0.006579
Platypleura kaempferi first call,585,宮古,39.6467,141.965,39,1954,2002,200.7,0.0774,0.77,0.113,0.493178
Platypleura kaempferi first call,587,酒田,38.9083,139.8433,11,1953,1963,186.9,-0.2364,-2.36,-0.097,0.777583
Platypleura kaempferi first call,588,山形,38.255,140.345,61,1953,2020,186.4,0.0894,0.89,0.174,0.179157
Platypleura kaempferi first call,590,仙台,38.2617,140.8967,59,1957,2020,190.4,0.0166,0.17,0.033,0.804748
Platypleura kaempferi first call,595,福島,37.7583,140.47,61,1953,2020,188.8,0.0994,0.99,0.213,0.09867
Platypleura kaempferi first call,597,白河,37.1317,140.215,13,1953,1965,185.6,-0.2198,-2.2,-0.173,0.571499
Platypleura kaempferi first call,598,小名浜,36.9467,140.9033,52,1953,2008,190.7,0.16,1.6,0.352,0.010422
Platypleura kaempferi first call,600,輪島,37.39,136.895,58,1953,2010,188.6,0.0715,0.72,0.237,0.073173
Platypleura kaempferi first call,602,相川,38.0283,138.24,55,1953,2007,187.0,0.018,0.18,0.057,0.679028
Platypleura kaempferi first call,604,新潟,37.8933,139.0183,43,1965,2020,191.9,-0.2049,-2.05,-0.362,0.016948
Platypleura kaempferi first call,605,金沢,36.5883,136.6333,50,1953,2002,188.6,-0.0937,-0.94,-0.22,0.124146
Platypleura kaempferi first call,607,富山,36.7083,137.2017,63,1953,2020,185.3,-0.0563,-0.56,-0.198,0.119354
Platypleura kaempferi first call,610,長野,36.6617,138.1917,67,1953,2020,182.3,0.0767,0.77,0.305,0.01198
Platypleura kaempferi first call,612,高田,37.1067,138.2467,11,1953,1963,182.9,-0.0545,-0.55,-0.037,0.914676
Platypleura kaempferi first call,615,宇都宮,36.5483,139.8683,68,1953,2020,186.2,0.1596,1.6,0.396,0.000836
Platypleura kaempferi first call,616,福井,36.055,136.2217,42,1959,2002,187.7,-0.0205,-0.21,-0.048,0.760541
Platypleura kaempferi first call,617,高山,36.155,137.2533,50,1953,2002,179.2,0.1935,1.93,0.412,0.00294
Platypleura kaempferi first call,618,松本,36.2467,137.97,46,1953,2002,186.6,0.0072,0.07,0.015,0.923147
Platypleura kaempferi first call,624,前橋,36.405,139.06,41,1953,2000,197.0,0.3148,3.15,0.496,0.000967
Platypleura kaempferi first call,626,熊谷,36.15,139.38,18,1953,1970,191.0,0.6687,6.69,0.552,0.017438
Platypleura kaempferi first call,629,水戸,36.38,140.4667,67,1953,2020,188.8,0.2916,2.92,0.6,0.0
Platypleura kaempferi first call,631,敦賀,35.6533,136.0617,51,1953,2005,187.7,0.0032,0.03,0.01,0.943594
Platypleura kaempferi first call,636,名古屋,35.1667,136.965,46,1953,2020,191.0,0.1207,1.21,0.382,0.008747
Platypleura kaempferi first call,637,飯田,35.5233,137.8217,54,1953,2006,177.9,0.1289,1.29,0.278,0.042123
Platypleura kaempferi first call,638,甲府,35.6667,138.5533,61,1953,2020,186.7,-0.1072,-1.07,-0.206,0.110398
Platypleura kaempferi first call,651,津,34.7333,136.5183,64,1953,2020,190.7,-0.1531,-1.53,-0.403,0.00096
Platypleura kaempferi first call,654,浜松,34.7533,137.7117,53,1953,2005,190.0,0.1234,1.23,0.237,0.087874
Platypleura kaempferi first call,656,静岡,34.975,138.4033,60,1954,2020,187.2,0.0462,0.46,0.119,0.363696
Platypleura kaempferi first call,662,東京,35.6917,139.75,24,1953,1988,194.2,0.2151,2.15,0.337,0.107039
Platypleura kaempferi first call,663,尾鷲,34.0683,136.1933,17,1953,1985,180.9,0.1297,1.3,0.158,0.5435
Platypleura kaempferi first call,670,横浜,35.4383,139.6517,65,1953,2020,191.6,0.0265,0.26,0.064,0.614773
Platypleura kaempferi first call,672,館山,34.9867,139.865,25,1980,2006,194.1,-0.0319,-0.32,-0.036,0.866091
Platypleura kaempferi first call,675,大島,34.7483,139.3617,52,1955,2009,172.6,0.047,0.47,0.091,0.520669
Platypleura kaempferi first call,677,三宅島,34.1233,139.52,36,1958,2000,190.1,0.1473,1.47,0.347,0.038057
Platypleura kaempferi first call,740,西郷,36.2033,133.3333,11,1953,1963,184.3,0.1727,1.73,0.086,0.801592
Platypleura kaempferi first call,741,松江,35.4567,133.065,37,1984,2020,185.0,-0.1446,-1.45,-0.328,0.047635
Platypleura kaempferi first call,746,鳥取,35.4867,134.2383,50,1953,2002,186.5,-0.0622,-0.62,-0.153,0.289424
Platypleura kaempferi first call,759,京都,35.0133,135.7317,44,1954,2002,192.0,-0.1707,-1.71,-0.339,0.024298
Platypleura kaempferi first call,761,彦根,35.275,136.2433,50,1953,2002,185.3,0.0342,0.34,0.1,0.491541
Platypleura kaempferi first call,762,下関,33.9483,130.925,12,1953,1970,185.6,-0.0331,-0.33,-0.033,0.918244
Platypleura kaempferi first call,765,広島,34.3983,132.4617,68,1953,2020,186.6,-0.0977,-0.98,-0.283,0.019451
Platypleura kaempferi first call,768,岡山,34.685,133.925,67,1953,2020,184.5,-0.1408,-1.41,-0.502,1.5e-05
Platypleura kaempferi first call,770,神戸,34.6967,135.2117,67,1953,2020,189.4,-0.0644,-0.64,-0.198,0.108437
Platypleura kaempferi first call,772,大阪,34.6817,135.5183,45,1965,2020,191.8,-0.1691,-1.69,-0.447,0.002096
Platypleura kaempferi first call,776,洲本,34.31,134.8483,50,1953,2002,181.9,0.0185,0.18,0.05,0.732785
Platypleura kaempferi first call,777,和歌山,34.2283,135.1633,66,1953,2020,188.3,-0.145,-1.45,-0.437,0.000241
Platypleura kaempferi first call,778,潮岬,33.45,135.7567,45,1962,2009,175.0,-0.1195,-1.19,-0.204,0.179838
Platypleura kaempferi first call,780,奈良,34.6733,135.8367,68,1953,2020,184.1,-0.146,-1.46,-0.432,0.000237
Platypleura kaempferi first call,800,厳原,34.1967,129.2917,49,1953,2002,182.8,0.1951,1.95,0.356,0.012024
Platypleura kaempferi first call,807,福岡,33.5817,130.375,10,1953,1962,188.1,0.0909,0.91,0.086,0.813967
Platypleura kaempferi first call,813,佐賀,33.265,130.305,50,1953,2002,185.5,0.0525,0.52,0.128,0.375396
Platypleura kaempferi first call,817,長崎,32.7333,129.8667,10,1953,1962,194.2,-1.2848,-12.85,-0.527,0.117185
Platypleura kaempferi first call,819,熊本,32.8133,130.7067,49,1953,2002,178.3,0.122,1.22,0.227,0.117561
Platypleura kaempferi first call,827,鹿児島,31.555,130.5467,30,1953,2002,187.0,0.4266,4.27,0.733,4e-06
Platypleura kaempferi first call,836,屋久島,30.385,130.6583,22,1953,1974,185.1,-0.8554,-8.55,-0.605,0.002876
Platypleura kaempferi first call,837,種子島,30.72,130.9817,18,1956,1978,175.2,0.0864,0.86,0.096,0.705814
Platypleura kaempferi first call,843,福江,32.6933,128.8267,10,1953,1962,182.6,0.0485,0.48,0.035,0.923065
Platypleura kaempferi first call,887,松山,33.8433,132.7767,14,1953,1967,183.6,-0.1347,-1.35,-0.12,0.683663
Platypleura kaempferi first call,891,高松,34.3183,134.0533,68,1953,2020,188.6,-0.0707,-0.71,-0.235,0.05411
Platypleura kaempferi first call,892,宇和島,33.2267,132.5517,53,1953,2005,176.3,-0.1242,-1.24,-0.258,0.061847
Platypleura kaempferi first call,893,高知,33.5667,133.5483,50,1955,2020,176.5,-0.0489,-0.49,-0.149,0.302896
Platypleura kaempferi first call,895,徳島,34.0667,134.5733,50,1953,2002,188.7,-0.106,-1.06,-0.196,0.172225
Platypleura kaempferi first call,927,宮古島,24.7933,125.2783,58,1953,2020,104.9,0.0833,0.83,0.198,0.135345
Platypleura kaempferi first call,929,久米島,26.3367,126.8033,41,1962,2004,123.5,-0.0907,-0.91,-0.127,0.428753
Platypleura kaempferi first call,936,那覇,26.2067,127.6867,54,1958,2020,154.6,-0.2391,-2.39,-0.337,0.012619
Platypleura kaempferi first call,940,名護,26.5933,127.965,30,1972,2001,148.7,0.3987,3.99,0.237,0.206617
Dryophytes japonicus first call,413,岩見沢,43.2117,141.785,10,1953,1969,121.8,3.3742,33.74,0.815,0.004103
Dryophytes japonicus first call,428,江差,41.8667,140.1233,17,1953,1969,127.5,1.1618,11.62,0.426,0.087833
Dryophytes japonicus first call,433,倶知安,42.9,140.7567,31,1953,2002,129.2,0.3547,3.55,0.654,6.5e-05
Dryophytes japonicus first call,435,紋別,44.345,143.355,10,1956,1969,124.7,2.7506,27.51,0.597,0.068683
Dryophytes japonicus first call,575,青森,40.8217,140.7683,21,1953,1981,118.3,0.7352,7.35,0.644,0.001631
Dryophytes japonicus first call,587,酒田,38.9083,139.8433,11,1953,1963,100.9,-0.0182,-0.18,-0.009,0.980085
Dryophytes japonicus first call,590,仙台,38.2617,140.8967,26,1953,2002,106.1,1.0505,10.5,0.784,2e-06
Dryophytes japonicus first call,595,福島,37.7583,140.47,16,1961,2002,108.8,0.3036,3.04,0.497,0.049919
Dryophytes japonicus first call,597,白河,37.1317,140.215,14,1953,1966,91.9,1.2835,12.84,0.612,0.019938
Dryophytes japonicus first call,598,小名浜,36.9467,140.9033,26,1953,2002,95.2,0.2433,2.43,0.421,0.032362
Dryophytes japonicus first call,602,相川,38.0283,138.24,55,1953,2007,102.2,0.0666,0.67,0.127,0.356037
Dryophytes japonicus first call,604,新潟,37.8933,139.0183,31,1962,2019,108.6,0.3182,3.18,0.455,0.0102
Dryophytes japonicus first call,605,金沢,36.5883,136.6333,58,1953,2020,101.1,0.4634,4.63,0.719,0.0
Dryophytes japonicus first call,610,長野,36.6617,138.1917,25,1953,1977,103.6,0.2715,2.72,0.221,0.287296
Dryophytes japonicus first call,612,高田,37.1067,138.2467,10,1954,1963,96.6,-0.0121,-0.12,-0.004,0.991346
Dryophytes japonicus first call,615,宇都宮,36.5483,139.8683,60,1953,2018,105.8,0.0344,0.34,0.071,0.588129
Dryophytes japonicus first call,618,松本,36.2467,137.97,51,1953,2006,102.3,0.5197,5.2,0.677,0.0
Dryophytes japonicus first call,626,熊谷,36.15,139.38,11,1953,1963,83.0,0.8,8.0,0.351,0.289233
Dryophytes japonicus first call,629,水戸,36.38,140.4667,58,1953,2020,103.1,0.2213,2.21,0.328,0.01201
Dryophytes japonicus first call,637,飯田,35.5233,137.8217,40,1954,1995,94.4,0.4954,4.95,0.63,1.3e-05
Dryophytes japonicus first call,651,津,34.7333,136.5183,17,1953,1978,100.0,0.8942,8.94,0.758,0.000418
Dryophytes japonicus first call,654,浜松,34.7533,137.7117,31,1954,2001,96.8,-0.0136,-0.14,-0.011,0.952143
Dryophytes japonicus first call,656,静岡,34.975,138.4033,34,1953,1999,97.1,0.447,4.47,0.429,0.011281
Dryophytes japonicus first call,663,尾鷲,34.0683,136.1933,12,1953,1964,71.7,-0.3636,-3.64,-0.11,0.733941
Dryophytes japonicus first call,746,鳥取,35.4867,134.2383,17,1953,1969,94.4,0.1985,1.99,0.143,0.582985
